task_id,sha256,local_score,cost,local_pass,local_total,nodes,file_size,current_best_score,score_delta_vs_current_best_6122_onnx,path,error
task114,7d1973d605273db25b979fc20a63bacd338098bf8f239bc90618b4b89dd1baa4,17.865906278807,1254,3,3,26,4719,17.865906278807,0.000000000000,submissions/nadeem_6252_onnx/task114.onnx,
task115,fef642f35c49927e9440865ae0761f3f9ecb7d9bb8a03f2a5109e91a82deb620,16.675906238550,4122,3,3,34,5069,16.675906238550,0.000000000000,submissions/nadeem_6252_onnx/task115.onnx,
task116,3f87aab73b8c538752ffb070a34dd07ef95ccba2d299bd7526da67fcf956e1e5,21.598802618338,30,3,3,1,479,21.598802618338,0.000000000000,submissions/nadeem_6252_onnx/task116.onnx,
task117,201415cfba7ab07e31fa5ce17b5bb5c673022cb2154a084d4d12920e4344b297,15.176963571861,18454,3,3,74,10774,15.193794570270,-0.016830998409,submissions/nadeem_6252_onnx/task117.onnx,
task118,97438b5c21bb19e585d3fceec251469c7b374cd4a076c5688816618e34f13133,13.336192047071,116286,3,3,67,4432,10.416339154361,2.919852892711,submissions/nadeem_6252_onnx/task118.onnx,
task119,07ddefaae6173ac59e2d58892773e2f6363645aa9845b7b8ea9e13e54e6e3283,15.280435285625,16640,3,3,140,8400,14.224215401276,1.056219884349,submissions/nadeem_6252_onnx/task119.onnx,
task120,13dafeb021b56dac928f38d32b4a0b841fcf481296ab752c9ac203fa425e1acc,18.186555400489,910,3,3,1,3836,18.186555400489,0.000000000000,submissions/nadeem_6252_onnx/task120.onnx,
task121,03880dc2a72d6781722a53ffad4b506867ebd9f9c0a7faae3760807eabe67856,16.215837777730,6530,3,3,24,3339,16.215837777730,0.000000000000,submissions/nadeem_6252_onnx/task121.onnx,
task122,d932a3ac54fb54cc09d9cdbaab21ba4e9165ed9a6a8e01b9e0c49fb972269b75,17.171961967874,2510,3,3,1,10236,17.171961967874,0.000000000000,submissions/nadeem_6252_onnx/task122.onnx,
task123,7a75e42172279efb638134db39ee0339cb6fe0d99590c0e86c1ad8f17ad3f8ab,16.630379173051,4314,3,3,13,8997,16.680282613149,-0.049903440098,submissions/nadeem_6252_onnx/task123.onnx,
task124,da414abc8e11d3e2038a3d6606b2781ef28d37a402428e1d219ee350a98f9bf4,15.634966238347,11673,3,3,52,2840,15.705962069002,-0.070995830655,submissions/nadeem_6252_onnx/task124.onnx,
task125,20f2c3e90cfb5afe5ac7e795a1cf906ce67453cb55deb5cbcc51275aea5fc7e8,15.495722161410,13417,3,3,28,3032,15.495722161410,0.000000000000,submissions/nadeem_6252_onnx/task125.onnx,
task126,b86dafbc68af0e5b698f0241dd534874e44ffd9dfca8bac7b89280a3534f3824,13.636839844665,86091,3,3,29,2765,13.636839844665,0.000000000000,submissions/nadeem_6252_onnx/task126.onnx,
task127,81f551a5b779e861ce371fdc4697595db753242954a60c50a3ac8e3108937d97,18.197605236676,900,3,3,1,3772,18.197605236676,0.000000000000,submissions/nadeem_6252_onnx/task127.onnx,
task128,5224331b88562c8c5864a82ed28442ed1a8c17321e5852eb0c193b0a8eabe7e5,13.537925821854,95042,3,3,28,3365,13.537925821854,0.000000000000,submissions/nadeem_6252_onnx/task128.onnx,
