source_index,source_label,contract_name,passed,skipped,reason,input_shape,expected_shape,actual_shape,mismatch_count,rule_label
16,ex16,task133_mirror_ud,True,False,ok,"(28, 29)","(28, 29)","(28, 29)",0,v4_plus9_compiler
16,ex16,task133_zero_pad_top_left,True,False,ok,"(29, 30)","(29, 30)","(29, 30)",0,v4_plus9_compiler
16,ex16,task133_zero_pad_bottom_right,True,False,ok,"(29, 30)","(29, 30)","(29, 30)",0,v4_plus9_compiler
17,ex17,original,True,False,ok,"(23, 27)","(23, 27)","(23, 27)",0,v4_plus9_compiler
17,ex17,task133_color_bijection,True,False,ok,"(23, 27)","(23, 27)","(23, 27)",0,v4_plus9_compiler
17,ex17,task133_transpose,True,False,ok,"(27, 23)","(27, 23)","(27, 23)",0,v4_plus9_compiler
17,ex17,task133_mirror_lr,True,False,ok,"(23, 27)","(23, 27)","(23, 27)",0,v4_plus9_compiler
17,ex17,task133_mirror_ud,True,False,ok,"(23, 27)","(23, 27)","(23, 27)",0,v4_plus9_compiler
17,ex17,task133_zero_pad_top_left,True,False,ok,"(24, 28)","(24, 28)","(24, 28)",0,v4_plus9_compiler
17,ex17,task133_zero_pad_bottom_right,True,False,ok,"(24, 28)","(24, 28)","(24, 28)",0,v4_plus9_compiler
18,ex18,original,True,False,ok,"(12, 25)","(12, 25)","(12, 25)",0,v4_plus9_compiler
18,ex18,task133_color_bijection,True,False,ok,"(12, 25)","(12, 25)","(12, 25)",0,v4_plus9_compiler
18,ex18,task133_transpose,True,False,ok,"(25, 12)","(25, 12)","(25, 12)",0,v4_plus9_compiler
18,ex18,task133_mirror_lr,True,False,ok,"(12, 25)","(12, 25)","(12, 25)",0,v4_plus9_compiler
18,ex18,task133_mirror_ud,True,False,ok,"(12, 25)","(12, 25)","(12, 25)",0,v4_plus9_compiler
18,ex18,task133_zero_pad_top_left,True,False,ok,"(13, 26)","(13, 26)","(13, 26)",0,v4_plus9_compiler
18,ex18,task133_zero_pad_bottom_right,True,False,ok,"(13, 26)","(13, 26)","(13, 26)",0,v4_plus9_compiler
19,ex19,original,True,False,ok,"(28, 28)","(28, 28)","(28, 28)",0,v4_plus9_compiler
19,ex19,task133_color_bijection,True,False,ok,"(28, 28)","(28, 28)","(28, 28)",0,v4_plus9_compiler
