check,split,index,variant,eligible,exact,pixel_errors,false_positive_3,false_negative_3,details
far_additive_foreground_noise,arc-gen,139,n=3,0,0,0,0,0,not enough far-background cells
far_additive_foreground_noise,arc-gen,140,n=1,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,140,n=2,0,0,0,0,0,not enough far-background cells
far_additive_foreground_noise,arc-gen,140,n=3,0,0,0,0,0,not enough far-background cells
far_additive_foreground_noise,arc-gen,141,n=1,1,0,27,0,27,
far_additive_foreground_noise,arc-gen,141,n=2,1,0,27,0,27,
far_additive_foreground_noise,arc-gen,141,n=3,0,0,0,0,0,not enough far-background cells
far_additive_foreground_noise,arc-gen,142,n=1,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,142,n=2,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,142,n=3,0,0,0,0,0,not enough far-background cells
far_additive_foreground_noise,arc-gen,143,n=1,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,143,n=2,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,143,n=3,0,0,0,0,0,not enough far-background cells
far_additive_foreground_noise,arc-gen,144,n=1,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,144,n=2,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,144,n=3,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,145,n=1,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,145,n=2,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,145,n=3,0,0,0,0,0,not enough far-background cells
far_additive_foreground_noise,arc-gen,146,n=1,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,146,n=2,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,146,n=3,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,147,n=1,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,147,n=2,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,147,n=3,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,148,n=1,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,148,n=2,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,148,n=3,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,149,n=1,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,149,n=2,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,149,n=3,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,150,n=1,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,150,n=2,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,150,n=3,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,151,n=1,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,151,n=2,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,151,n=3,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,152,n=1,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,152,n=2,0,0,0,0,0,not enough far-background cells
far_additive_foreground_noise,arc-gen,152,n=3,0,0,0,0,0,not enough far-background cells
far_additive_foreground_noise,arc-gen,153,n=1,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,153,n=2,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,153,n=3,0,0,0,0,0,not enough far-background cells
far_additive_foreground_noise,arc-gen,154,n=1,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,154,n=2,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,154,n=3,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,155,n=1,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,155,n=2,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,155,n=3,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,156,n=1,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,156,n=2,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,156,n=3,0,0,0,0,0,not enough far-background cells
far_additive_foreground_noise,arc-gen,157,n=1,1,0,54,0,54,
far_additive_foreground_noise,arc-gen,157,n=2,1,0,54,0,54,
far_additive_foreground_noise,arc-gen,157,n=3,1,0,54,0,54,
far_additive_foreground_noise,arc-gen,158,n=1,1,0,24,0,24,
far_additive_foreground_noise,arc-gen,158,n=2,1,0,24,0,24,
far_additive_foreground_noise,arc-gen,158,n=3,1,0,24,0,24,
far_additive_foreground_noise,arc-gen,159,n=1,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,159,n=2,0,0,0,0,0,not enough far-background cells
far_additive_foreground_noise,arc-gen,159,n=3,0,0,0,0,0,not enough far-background cells
far_additive_foreground_noise,arc-gen,160,n=1,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,160,n=2,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,160,n=3,0,0,0,0,0,not enough far-background cells
far_additive_foreground_noise,arc-gen,161,n=1,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,161,n=2,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,161,n=3,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,162,n=1,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,162,n=2,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,162,n=3,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,163,n=1,1,0,16,0,16,
far_additive_foreground_noise,arc-gen,163,n=2,1,0,16,0,16,
far_additive_foreground_noise,arc-gen,163,n=3,0,0,0,0,0,not enough far-background cells
far_additive_foreground_noise,arc-gen,164,n=1,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,164,n=2,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,164,n=3,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,165,n=1,1,0,49,0,49,
far_additive_foreground_noise,arc-gen,165,n=2,0,0,0,0,0,not enough far-background cells
far_additive_foreground_noise,arc-gen,165,n=3,0,0,0,0,0,not enough far-background cells
far_additive_foreground_noise,arc-gen,166,n=1,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,166,n=2,0,0,0,0,0,not enough far-background cells
far_additive_foreground_noise,arc-gen,166,n=3,0,0,0,0,0,not enough far-background cells
far_additive_foreground_noise,arc-gen,167,n=1,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,167,n=2,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,167,n=3,0,0,0,0,0,not enough far-background cells
far_additive_foreground_noise,arc-gen,168,n=1,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,168,n=2,0,0,0,0,0,not enough far-background cells
far_additive_foreground_noise,arc-gen,168,n=3,0,0,0,0,0,not enough far-background cells
far_additive_foreground_noise,arc-gen,169,n=1,0,0,0,0,0,not enough far-background cells
far_additive_foreground_noise,arc-gen,169,n=2,0,0,0,0,0,not enough far-background cells
far_additive_foreground_noise,arc-gen,169,n=3,0,0,0,0,0,not enough far-background cells
far_additive_foreground_noise,arc-gen,170,n=1,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,170,n=2,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,170,n=3,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,171,n=1,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,171,n=2,0,0,0,0,0,not enough far-background cells
far_additive_foreground_noise,arc-gen,171,n=3,0,0,0,0,0,not enough far-background cells
far_additive_foreground_noise,arc-gen,172,n=1,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,172,n=2,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,172,n=3,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,173,n=1,1,0,50,2,48,
far_additive_foreground_noise,arc-gen,173,n=2,1,0,50,2,48,
far_additive_foreground_noise,arc-gen,173,n=3,1,0,50,2,48,
far_additive_foreground_noise,arc-gen,174,n=1,1,0,2,2,0,
far_additive_foreground_noise,arc-gen,174,n=2,1,0,2,2,0,
far_additive_foreground_noise,arc-gen,174,n=3,1,0,2,2,0,
far_additive_foreground_noise,arc-gen,175,n=1,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,175,n=2,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,175,n=3,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,176,n=1,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,176,n=2,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,176,n=3,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,177,n=1,1,0,90,0,90,
far_additive_foreground_noise,arc-gen,177,n=2,0,0,0,0,0,not enough far-background cells
far_additive_foreground_noise,arc-gen,177,n=3,0,0,0,0,0,not enough far-background cells
far_additive_foreground_noise,arc-gen,178,n=1,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,178,n=2,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,178,n=3,0,0,0,0,0,not enough far-background cells
far_additive_foreground_noise,arc-gen,179,n=1,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,179,n=2,0,0,0,0,0,not enough far-background cells
far_additive_foreground_noise,arc-gen,179,n=3,0,0,0,0,0,not enough far-background cells
far_additive_foreground_noise,arc-gen,180,n=1,0,0,0,0,0,not enough far-background cells
far_additive_foreground_noise,arc-gen,180,n=2,0,0,0,0,0,not enough far-background cells
far_additive_foreground_noise,arc-gen,180,n=3,0,0,0,0,0,not enough far-background cells
