task_id,file_size,node_count,init_count,init_bytes,init_byte_ratio,biggest_init_bytes,biggest_init_name,biggest_init_size,biggest_init_dtype,big_init_count_4k,big_init_count_64k,big_init_count_512k,has_fp16,has_lookup_ops,ops_top,ops_total,risk_score,risk_flags
task300,4454,43,14,744,0.167,240,offsets30,30,int64,0,0,0,1,0,"Reshape:6, Sub:5, ArgMax:5, Gather:5, Add:5",43,0.5,fp16
task365,16991,234,12,556,0.0327,240,v3,30,int64,0,0,0,1,0,"Cast:51, Less:30, Gather:25, Add:16, Unsqueeze:14",234,0.5,fp16
task030,7091,64,19,658,0.0928,200,zero_ch,100,float16,0,0,0,1,0,"Cast:10, Where:6, Add:6, Slice:4, Sub:4",64,0.5,fp16
task133,9860,121,55,1446,0.1467,200,not_eye10,100,float16,0,0,0,1,0,"Conv:25, And:12, Equal:10, Cast:9, Not:8",121,0.5,fp16
task136,2845,25,10,442,0.1554,200,k_diag,100,float16,0,0,0,1,0,"Cast:6, Conv:4, Greater:4, And:3, Or:3",25,0.5,fp16
task205,33601,416,76,3744,0.1114,200,k_10_10,100,float16,0,0,0,1,0,"Where:124, Cast:32, ReduceMax:28, Mul:27, Greater:27",416,0.5,fp16
task212,4512,53,16,480,0.1064,200,zero10,100,float16,0,0,0,1,0,"Cast:13, Where:5, Sum:5, Greater:5, ReduceSum:4",53,0.5,fp16
task277,6687,60,17,663,0.0991,200,neg_idx,100,float16,0,0,0,1,0,"Where:11, Equal:8, Pad:6, Cast:5, MaxPool:5",60,0.5,fp16
task158,21962,253,56,1781,0.0811,180,w3_per_h,90,float16,0,0,0,1,0,"Cast:28, Mul:27, Reshape:19, Add:19, Gather:18",253,0.5,fp16
task022,5021,67,25,868,0.1729,162,shift_k,81,float16,0,0,0,1,0,"Mul:17, ReduceMax:16, Slice:10, Sub:8, Add:8",67,0.5,fp16
task156,48854,371,73,4088,0.0837,162,k_exact_h7_w7,81,float16,0,0,0,1,0,"Max:101, Greater:64, Or:40, And:31, Cast:27",371,0.5,fp16
task168,4620,45,10,490,0.1061,162,conv_sum_fuse_ray_dir_0_sum_8_w_red_23,81,float16,0,0,0,1,0,"Mul:13, Conv:12, Greater:5, ReduceMax:3, Or:3",45,0.5,fp16
task192,2089,17,10,366,0.1752,160,k2_nz,40,float32,0,0,0,1,0,"Cast:5, ReduceSum:2, Greater:2, Conv:1, ConvTranspose:1",17,0.5,fp16
