task_id,v3_train_pass,v3_test_pass,v3_argen_pass,v3_total_pass_ratio,v3_status,v3_cost,v3_score,ours_total_pass_ratio,ours_status,ours_cost,ours_score,risk_label
task338,3/3,2/2,262/262,267/267,ok,45016,14.2852,267/267,ok,46899,14.2442,ok
task345,2/2,1/1,261/261,264/264,ok,11716,15.6313,264/264,ok,45155,14.2821,ok
task346,4/4,1/1,262/262,267/267,ok,9178,15.8754,267/267,ok,9178,15.8754,ok
task347,5/5,2/2,262/262,269/269,ok,1605,17.6191,269/269,ok,1631,17.6031,ok
task349,4/4,1/1,262/262,267/267,ok,49480,14.1907,267/267,ok,146782,13.1033,ok
task350,4/4,1/1,262/262,267/267,ok,19831,15.1050,267/267,ok,28729,14.7343,ok
task354,3/3,1/1,262/262,266/266,ok,17007,15.2586,266/266,ok,31151,14.6534,ok
task355,4/4,1/1,262/262,267/267,ok,11795,15.6246,267/267,ok,18292,15.1858,ok
task359,3/3,1/1,262/262,266/266,ok,42313,14.3472,266/266,ok,51176,14.1570,ok
task361,3/3,1/1,262/262,266/266,ok,15493,15.3519,266/266,ok,16493,15.2893,ok
task362,4/4,1/1,262/262,267/267,ok,11939,15.6124,267/267,ok,12038,15.6042,ok
task363,3/3,1/1,261/261,265/265,ok,87112,13.6251,265/265,ok,512771,11.8524,ok
task364,3/3,1/1,262/262,266/266,ok,76538,13.7545,266/266,ok,150853,13.0759,ok
task365,3/3,1/1,262/262,266/266,ok,58814,14.0179,266/266,ok,59004,14.0146,ok
task366,3/3,1/1,251/251,255/255,ok,830720,11.3700,255/255,ok,60083225,7.0888,ok
task367,3/3,1/1,262/262,266/266,ok,143603,13.1252,266/266,ok,923616,11.2639,ok
task370,3/3,1/1,262/262,266/266,ok,108262,13.4077,266/266,ok,354422,12.2218,ok
task372,3/3,1/1,262/262,266/266,ok,7878,16.0282,266/266,ok,11690,15.6335,ok
task373,2/2,1/1,72/72,75/75,ok,524,18.7385,75/75,ok,627,18.5591,ok
task374,4/4,1/1,262/262,267/267,ok,15441,15.3552,267/267,ok,52037,14.1403,ok
task376,2/2,1/1,36/36,39/39,ok,23413,14.9390,39/39,ok,40583,14.3889,ok
task377,3/3,1/1,262/262,266/266,ok,59224,14.0109,266/266,ok,64881,13.9197,ok
task378,4/4,1/1,262/262,267/267,ok,39008,14.4285,267/267,ok,41000,14.3787,ok
task380,4/4,1/1,262/262,267/267,ok,728,18.4097,267/267,ok,737,18.3974,ok
task381,3/3,1/1,261/261,265/265,ok,3681,16.7891,265/265,ok,42217,14.3494,ok
task382,3/3,1/1,262/262,266/266,ok,107354,13.4161,266/266,ok,194026,12.8243,ok
task383,3/3,1/1,262/262,266/266,ok,129068,13.2319,266/266,ok,129967,13.2250,ok
task384,3/3,1/1,262/262,266/266,ok,74722,13.7785,266/266,ok,74751,13.7781,ok
task386,5/5,1/1,262/262,268/268,ok,2181,17.3125,268/268,ok,2207,17.3006,ok
task387,4/4,1/1,261/261,266/266,ok,63558,13.9403,266/266,ok,576933,11.7345,ok
task388,3/3,1/1,262/262,266/266,ok,6468,16.2254,266/266,ok,10779,15.7146,ok
task390,3/3,1/1,262/262,266/266,ok,24692,14.8858,266/266,ok,24721,14.8846,ok
task393,3/3,1/1,261/261,265/265,ok,459,18.8709,265/265,ok,5873,16.3219,ok
task396,3/3,1/1,262/262,266/266,ok,140688,13.1457,266/266,ok,168048,12.9680,ok
task397,3/3,1/1,262/262,266/266,ok,21142,15.0410,266/266,ok,21241,15.0363,ok
