task,source,score,cost,delta_vs_cur
231,current,14.448885782205735,38220.0,0.0
232,current,14.707956157758622,29497.0,0.0
233,konbu,13.767555928044851,75542.0,3.8867574678993506
234,current,13.151052399688943,139937.0,0.0
235,current,17.81007782925419,1326.0,0.0
236,current,18.417974861107176,722.0,0.0
237,current,15.430308268881676,14324.0,0.0
238,current,13.927565965061614,64372.0,0.0
239,current,13.525015267707683,96277.0,0.0
240,current,14.22660078877651,47734.0,0.0
241,current,25.0,0.0,0.0
242,current,14.896432835748216,24430.0,0.0
243,konbu,13.874532744845478,67878.0,1.1700483919019309
244,current,14.607564402217198,32612.0,0.0
245,current,13.600680058652966,89261.0,0.0
246,current,15.497661881504436,13391.0,0.0
247,current,14.99327919282222,22175.0,0.0
248,current,16.12094533795773,7180.0,0.0
249,current,15.74096470648506,10499.0,0.0
250,current,15.496915389979772,13401.0,0.0
251,current,13.47239284049379,101479.0,0.0
252,current,14.4471604269036,38286.0,0.0
253,current,14.215455188361384,48269.0,0.0
254,current,16.018318360026136,7956.0,0.0
255,konbu,13.10587479745953,146404.0,5.680656728567785
256,current,15.033960272806908,21291.0,0.0
257,current,18.01806532284361,1077.0,0.0
258,current,19.924826184766175,160.0,0.0
259,current,16.162899588837245,6885.0,0.0
260,current,15.568598242913932,12474.0,0.0
261,current,19.701682633451963,200.0,0.0
262,current,16.086315175274706,7433.0,0.0
263,current,16.0058275656016,8056.0,0.0
264,current,13.154639006390818,139436.0,0.0
265,current,14.408076346634044,39812.0,0.0
266,current,18.186555400489105,910.0,0.0
267,current,17.865109148434115,1255.0,0.0
268,current,14.983764287772118,22387.0,0.0
269,current,15.94024998665632,8602.0,0.0
270,current,14.733780881942607,28745.0,0.0
271,current,14.725259284025896,28991.0,0.0
272,current,18.186555400489105,910.0,0.0
273,current,16.294337521203573,6037.0,0.0
274,current,15.921934667333636,8761.0,0.0
275,current,13.66280982894899,83884.0,0.0
276,current,22.697414907005953,10.0,0.0
277,konbu,14.24770857881946,46737.0,0.41249400230079303
278,current,14.55468246483519,34383.0,0.0
279,current,14.7808991100834,27422.0,0.0
280,current,13.156002567937232,139246.0,0.0
281,current,13.597168457826845,89575.0,0.0
282,current,18.197605236675688,900.0,0.0
283,current,18.186555400489105,910.0,0.0
284,current,13.304486347118386,120032.0,0.0
285,konbu,12.935513960531726,173596.0,6.35194736730422
286,current,13.011269019324953,160931.0,0.0
287,current,14.975800372301608,22566.0,0.0
288,current,14.632558329669694,31807.0,0.0
289,current,14.86017630236368,25332.0,0.0
290,current,13.384048742718663,110852.0,0.0
291,current,16.627370259775116,4327.0,0.0
292,current,16.244577619851512,6345.0,0.0
293,current,14.86234982966723,25277.0,0.0
294,current,18.186555400489105,910.0,0.0
295,current,15.58867988941133,12226.0,0.0
296,current,16.67760588688883,4115.0,0.0
297,current,15.840111171519917,9508.0,0.0
298,current,15.390078463074628,14912.0,0.0
299,current,17.5100291011652,1790.0,0.0
300,current,13.74099951068342,77575.0,0.0
301,current,13.766695849526212,75607.0,0.0
302,current,15.03161461588603,21341.0,0.0
303,current,13.701382237681582,80710.0,0.0
304,current,15.413005601769772,14574.0,0.0
305,current,16.71802294113224,3952.0,0.0
306,current,13.596409605443007,89643.0,0.0
307,current,17.504458056115745,1800.0,0.0
308,current,14.199975544076578,49022.0,0.0
309,current,22.697414907005953,10.0,0.0
310,current,14.016845153963535,58874.0,0.0
311,current,21.59880261833785,30.0,0.0
312,current,15.791761836115688,9979.0,0.0
313,current,13.760196456150222,76100.0,0.0
314,current,15.94118043566506,8594.0,0.0
315,current,15.469099027006097,13779.0,0.0
316,current,14.150468757440368,51510.0,0.0
317,current,18.197605236675688,900.0,0.0
