solver,split,index,exact,pixel_errors,false_positive_3,false_negative_3,target_3,predicted_3,rectangles
v2_train_only_rect_corridor,arc-gen,135,1,0,0,0,236,236,3
legacy_stub,arc-gen,136,0,230,0,230,230,0,0
core8_upper_bound,arc-gen,136,0,20,20,0,230,250,0
v2_train_only_rect_corridor,arc-gen,136,1,0,0,0,230,230,2
legacy_stub,arc-gen,137,0,208,0,208,208,0,0
core8_upper_bound,arc-gen,137,0,19,19,0,208,227,0
v2_train_only_rect_corridor,arc-gen,137,0,21,0,21,208,187,2
legacy_stub,arc-gen,138,0,282,0,282,282,0,0
core8_upper_bound,arc-gen,138,0,4,4,0,282,286,0
v2_train_only_rect_corridor,arc-gen,138,1,0,0,0,282,282,2
legacy_stub,arc-gen,139,0,228,0,228,228,0,0
core8_upper_bound,arc-gen,139,0,17,17,0,228,245,0
v2_train_only_rect_corridor,arc-gen,139,1,0,0,0,228,228,4
legacy_stub,arc-gen,140,0,237,0,237,237,0,0
