task_id,pass,total,score,cost,anchor_score,anchor_cost,delta,error,path
202,0,267,0.0,,13.258187509088495,125720,-13.258187509088495,"Traceback (most recent call last): |   File ""$HOME/Desktop/kaggleonnx/tools/neurogolf_local.py"", line 286, in score_onnx |     output = session.run([""output""], {""input"": encode_grid(example[""input""])})[0] |                                                ~~~~~~~~~~~^^^^^^^^^^^^^^^^^^ |   File ""$HOME/Desktop/kaggleonnx/tools/neurogolf_local.py"", line 57, in encode_grid |     out[0, color, row, col] = 1.0 |     ~~~^^^^^^^^^^^^^^^^^^^^ | IndexError: index 30 is out of bounds for axis 3 with size 30",/tmp/ng_seddik_precision/submission/task202.onnx
203,267,267,13.610350127195805,88402,13.631707320725468,86534,-0.021357193529663476,,/tmp/ng_seddik_precision/submission/task203.onnx
204,268,268,13.307707338062253,119646,13.314416183646774,118846,-0.006708845584521228,,/tmp/ng_seddik_precision/submission/task204.onnx
205,266,266,13.370955104619776,112313,13.45448150576291,103313,-0.08352640114313381,,/tmp/ng_seddik_precision/submission/task205.onnx
206,266,266,13.975062924893004,61386,13.975062924893004,61386,0.0,,/tmp/ng_seddik_precision/submission/task206.onnx
207,265,265,17.463636061595487,1875,17.463636061595487,1875,0.0,,/tmp/ng_seddik_precision/submission/task207.onnx
208,266,266,13.566031166031484,92408,13.56749314667969,92273,-0.001461980648205241,,/tmp/ng_seddik_precision/submission/task208.onnx
209,266,266,13.28530989269121,122356,13.361711412073099,113356,-0.07640151938188922,,/tmp/ng_seddik_precision/submission/task209.onnx
210,266,266,21.598802618337846,30,21.598802618337846,30,0.0,,/tmp/ng_seddik_precision/submission/task210.onnx
211,266,266,17.504458056115745,1800,17.504458056115745,1800,0.0,,/tmp/ng_seddik_precision/submission/task211.onnx
212,265,265,15.792664137044117,9970,15.792764442977296,9969,-0.00010030593317900127,,/tmp/ng_seddik_precision/submission/task212.onnx
